Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
542651,KPITTECH,A,1128.10,1129.60,1089.60,1109.95,26646,294.00,3124
533273,OBEROIRLTY,A,1524.95,1547.50,1504.95,1512.40,19255,293.00,3035
531344,CONCOR,A,495.60,500.60,485.45,495.45,58862,290.00,3169
517334,MOTHERSON,A,106.15,110.20,106.15,109.00,266348,289.00,2255
544289,NTPCGREEN,A,89.75,90.73,88.46,89.50,321986,288.00,3225
532754,GMRAIRPORT,A,95.95,97.00,93.50,94.10,303079,287.00,1864
543530,PARADEEP,A,130.75,133.50,128.40,131.85,217973,286.00,3094
532885,CENTRALBK,A,36.45,37.15,36.14,36.80,775164,284.00,2299
543287,LODHA,A,978.55,988.95,961.40,974.70,28747,280.00,2080
500575,VOLTAS,A,1320.00,1329.90,1274.30,1298.65,21120,273.00,3219
532523,BIOCON,A,362.65,370.00,359.05,363.60,74990,273.00,1398
531642,MARICO,A,750.65,752.05,740.55,746.20,36578,272.00,2988
505537,ZEEL,A,83.80,84.00,81.00,82.55,322967,267.00,2843
500048,BEML,A,1711.90,1719.60,1658.10,1678.00,15808,266.00,2027
500294,NCC,A,141.85,144.40,140.05,142.80,184963,262.00,1838
500800,TATACONSUM,A,1181.25,1197.50,1172.65,1177.15,22137,261.00,1988
509930,SUPREMEIND,A,3306.25,3359.25,3279.80,3308.80,7821,259.00,2988
532725,SOLARINDS,A,12500.05,12576.90,12348.00,12532.20,2053,256.00,443
506590,PCBL,A,263.85,268.90,259.35,263.80,96355,254.00,2484
532388,IOB,A,34.51,34.90,33.62,34.22,738072,252.00,2817
506401,DEEPAKNTR,A,1582.35,1599.00,1563.35,1571.00,15927,251.00,1892
540902,AMBER,A,6030.35,6060.55,5852.45,5885.00,4255,251.00,1519
532439,OLECTRA,A,1016.70,1045.30,1010.00,1026.00,24243,250.00,1460
532734,GPIL,A,240.05,244.00,237.25,241.95,103544,249.00,2210
532259,APARINDS,A,7009.80,7012.95,6800.00,6962.50,3597,248.00,996
523405,JMFINANCIL,A,128.65,130.45,126.00,128.95,194040,248.00,2515
543330,DEVYANI,A,124.75,126.90,123.40,126.55,195773,244.00,2223
512455,LLOYDSME,A,1162.60,1173.40,1124.90,1144.05,21332,244.00,1190
514162,WELSPUNLIV,A,112.75,116.95,112.15,116.45,211521,242.00,2592
532777,NAUKRI,A,1282.70,1301.05,1268.70,1300.20,18810,241.00,2780
532178,ENGINERSIN,A,179.10,182.60,173.60,176.05,134111,239.00,2267
544306,SAILIFE,A,808.05,824.35,798.00,814.55,29387,238.00,2041
532514,IGL,A,176.05,181.20,174.40,176.95,130817,232.00,2325
500480,CUMMINSIND,A,4014.20,4034.00,3936.65,3992.40,5835,232.00,1435
540716,ICICIGI,A,1848.55,1860.45,1808.00,1833.45,12637,231.00,2824
500247,KOTAKBANK,A,420.05,425.30,416.80,419.30,54315,228.00,4454
544081,JYOTICNC,A,860.00,860.00,818.55,834.65,27091,227.00,1675
544210,EMCURE,A,1537.60,1561.00,1523.30,1558.00,14675,226.00,1145
500877,APOLLOTYRE,A,502.05,505.20,493.15,504.55,44013,220.00,1468
533293,KIRLOSENG,A,1085.05,1096.45,1058.00,1089.25,20532,220.00,1884
532830,ASTRAL,A,1391.15,1394.35,1355.60,1371.25,15901,219.00,1911
532504,NAVINFLUOR,A,5934.10,5934.10,5611.00,5730.80,3768,216.00,832
500228,JSWSTEEL,A,1160.35,1178.95,1160.35,1173.30,18437,215.00,1183
506395,COROMANDEL,A,2272.30,2272.30,2175.60,2265.20,9662,214.00,1272
532400,BSOFT,A,400.65,410.15,396.00,403.40,53045,214.00,1963
524000,POONAWALLA,A,446.50,447.65,431.00,435.10,48732,213.00,1592
542760,SWSOLAR,A,188.75,193.00,185.50,189.65,111737,212.00,1441
543635,PPLPHARMA,A,157.60,160.40,154.75,156.80,134787,212.00,2224
500410,ACC,A,1695.30,1703.40,1672.35,1694.35,12577,212.00,1476
500331,PIDILITIND,A,1434.05,1437.80,1412.95,1433.65,14852,211.00,1741
544238,PREMIERENE,A,732.50,740.55,711.10,722.35,28981,210.00,1735
540975,ASTERDM,A,551.40,554.70,539.90,553.70,38298,209.00,3126
533655,TRITURBINE,A,465.00,469.95,454.40,467.00,44770,206.00,2166
533106,OIL,A,426.15,434.45,426.10,433.85,48001,206.00,1446
542141,TECHNOE,A,925.90,936.50,906.30,918.35,22196,204.00,2112
531358,CHOICEIN,A,797.80,803.70,775.50,783.65,25856,203.00,964
521064,TRIDENT,A,24.69,24.74,24.11,24.49,826016,201.00,3956
541988,AAVAS,A,1376.00,1381.35,1352.00,1377.50,14439,197.00,1312
544309,IKS,A,1662.30,1680.15,1589.25,1648.30,12034,195.00,1347
532644,JKCEMENT,A,5884.20,5884.20,5608.00,5706.95,3371,192.00,765
542772,360ONE,A,1121.05,1133.00,1096.00,1108.95,17168,190.00,1647
500645,DEEPAKFERT,A,1145.35,1157.55,1117.00,1147.10,16594,189.00,1441
504614,SARDAEN,A,459.60,467.00,452.75,464.55,40208,184.00,3302
539177,AIIL,A,593.35,595.00,567.70,572.00,31650,183.00,1684
500257,LUPIN,A,2149.80,2210.40,2148.90,2160.00,8323,181.00,1514
543066,SBICARD,A,807.00,813.95,793.70,802.95,22561,180.00,1574
543498,MSUMI,A,43.19,44.10,42.74,43.98,415538,180.00,2867
543390,POLICYBZR,A,1657.90,1658.90,1623.00,1635.50,10965,179.00,1544
500825,BRITANNIA,A,5837.05,5894.00,5811.00,5857.00,3028,177.00,610
500620,GESHIP,A,1074.00,1100.75,1074.00,1098.30,16201,176.00,1357
506767,ALKYLAMINE,A,1540.80,1625.00,1534.55,1610.70,11017,176.00,1230
541153,BANDHANBNK,A,139.00,141.55,138.25,139.85,125971,176.00,1556
500085,CHAMBLFERT,A,425.95,430.05,418.30,424.00,41419,175.00,1731
533274,PRESTIGE,A,1415.20,1431.35,1395.85,1423.95,12343,174.00,2230
538962,MINDACORP,A,531.70,532.00,505.00,519.60,33435,173.00,1492
