Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
542830,IRCTC,A,713.45,724.65,713.45,724.35,85656,616.00,3752
500790,NESTLEIND,A,1281.65,1291.50,1276.05,1283.20,47750,612.00,3332
543415,ANANDRATHI,A,3126.30,3233.00,3125.00,3224.75,18384,589.00,2339
532868,DLF,A,771.10,785.75,771.10,780.50,73540,575.00,3345
517334,MOTHERSON,A,106.50,107.35,106.05,106.80,535343,571.00,3954
543235,ANGELONE,A,2491.15,2577.00,2491.15,2575.20,21456,546.00,2383
533150,GODREJPROP,A,2304.05,2351.60,2304.05,2326.30,23430,546.00,2271
500312,ONGC,A,255.05,256.10,252.00,253.20,214435,544.00,3684
540376,DMART,A,4197.60,4263.35,4197.60,4251.70,12645,536.00,2238
539006,PTCIL,A,17250.05,17900.00,17195.00,17469.80,3055,534.00,1168
526299,MPHASIS,A,2840.05,2896.80,2840.00,2889.30,18376,528.00,2114
500251,TRENT,A,4790.00,4832.50,4785.50,4808.00,10814,520.00,1389
532210,CUB,A,221.90,234.95,221.90,232.50,224014,517.00,4612
532461,PNB,A,117.50,119.05,117.00,118.90,407494,481.00,3536
542760,SWSOLAR,A,227.45,232.95,225.70,231.45,208926,479.00,3147
503310,SWANCORP,A,432.75,455.25,430.95,450.85,107194,476.00,2730
543428,DATAPATTNS,A,2800.20,2800.20,2744.60,2783.00,17070,472.00,2150
539448,INDIGO,A,5772.90,5872.60,5772.90,5856.15,8081,471.00,1336
532281,HCLTECH,A,1525.05,1549.50,1525.05,1535.00,30446,469.00,4016
539254,ADANIENSOL,A,941.00,951.85,941.00,943.95,49155,465.00,2725
541143,BDL,A,1555.80,1559.05,1529.80,1539.30,29988,463.00,2243
532539,UNOMINDA,A,1175.10,1201.95,1175.10,1201.95,38778,462.00,2692
532500,MARUTI,A,16322.05,16385.00,16282.00,16377.00,2816,460.00,972
500850,INDHOTEL,A,737.00,747.85,734.85,746.10,61100,452.00,2815
500188,HINDZINC,A,487.40,489.55,481.85,484.40,93030,451.00,2123
532810,PFC,A,395.30,397.35,394.10,396.50,114166,451.00,3116
500378,JINDALSAW,A,181.50,181.50,175.00,178.30,251823,446.00,3073
526371,NMDC,A,74.21,75.20,73.90,74.44,599762,446.00,4208
532525,MAHABANK,A,58.94,58.94,57.85,58.36,763434,445.00,4633
544162,BHARTIHEXA,A,1786.40,1880.00,1786.40,1872.90,24037,445.00,2520
507685,WIPRO,A,242.75,245.75,242.75,243.80,180304,440.00,3340
532978,BAJAJFINSV,A,2155.10,2177.60,2150.00,2170.50,20042,433.00,3657
544026,IREDA,A,153.40,155.70,153.40,153.60,280714,433.00,2536
532636,IIFL,A,490.90,506.15,490.90,503.15,86241,432.00,2562
531595,CGCL,A,208.45,208.45,203.05,203.60,210617,431.00,2222
540595,TEJASNET,A,542.05,549.75,542.05,543.90,78483,427.00,2406
512599,ADANIENT,A,2503.85,2515.80,2489.00,2493.75,17023,425.00,1405
500825,BRITANNIA,A,6050.00,6053.00,5810.00,5901.80,6978,413.00,1465
543635,PPLPHARMA,A,201.55,204.70,201.55,203.70,200957,409.00,1404
533098,NHPC,A,85.13,85.47,84.78,85.04,472304,401.00,7893
540678,COCHINSHIP,A,1825.65,1825.75,1808.55,1813.00,21851,396.00,1753
539083,INOXWIND,A,154.25,155.75,152.50,153.40,255337,393.00,3379
533273,OBEROIRLTY,A,1694.75,1746.10,1694.75,1734.80,22480,390.00,2414
